,Document,Topic_group
21343,set notifications service now wednesday february breached hi please resolved breached these reach thanks best regards,Miscellaneous
38308,error message error message hello when try access induction materials receive following error won allow open any please help gain access thank you manager,Hardware
22348,access hello please create manage thanks,HR Support
35683,link issue link issue hi trying link other pages items chrome ie but operation possible window for linking can you please assist issue thanks best regards analyst,Hardware
35705,please create a folder for user please create folder for hello want back up data before doing upgrade but have folder mentioned statement document if you have mapped shared drive please type path your file explorer program where your active directory for example there folder but folder please create folder for thank you senior developer sent friday november notification forced upgrade reminder importance high hello everyone if you already upgraded your workstation please disregard message we coming back you with announcement order inform you upgrade mandatory you still have possibility choose when upgrade interval we kindly asking you give some your action possible estimated for upgrade process complete approximately minutes please announcement attached file only after proceed upgrade starting with we start forced upgrade means upgrade process automatically start your workstation you be able stop process we would like have assets upgraded before date forced upgrade take place one you be notified before least two times please understand you have full responsibility for your files important note if you have dependency your you need remain your current version please notify possible if your workstation having less than try free up some space please article for more information kb view article kb you can use subscription temporary store your files you have space there please make files completely synchronized with before unlinking your laptop subscription please kb article for more info kb view article kb for you can always get contact with your thank you kind regards ext,Administrative rights
628,please create a list called team please create called hi please create called best regards test consultant logo logo,Miscellaneous
33812,access wednesday july ca hi guys please help out he needs order continue working thanks july ca ca si mea ca se regards software developer,Hardware
45180,synchronization issue sent friday synchronization issue hi can you please help with below writing due synchronization issue encountered employees visible can you please check let know when issue resolved currently need assignment employee thanks assistant ext,Access
34971,oracle error error hello please rise ticket call thank you best regards engineer en sent december error hello could you please assist thank you administration officer sent wednesday december error hello ore si submit sa print screen error sa si sa ore loc,HR Support
19324,roaming profile issue reported roaming profile issues,Administrative rights
27287,new project code pas october pm code please also provide guidelines how create myself although functionality manage create thank october pm code dear ask please create code per attached form required etc assume create thank officer,Internal Project
42963,we cannot who has booked conference rooms sent tuesday urgent hello we moved building we cannot booked conference rooms could you please make visible for for our leadership pretty urgent could you please make visible for thanks best manager,Hardware
12384,new purchase po pro en july purchase po dear purchased pro retina type hub please log allocation please log type hub please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,Purchase
3244,access to location location hello please locations vetting storage staffing store human resources store human resources compliance administration view printer thank lead,Storage
20987,admin access right for tuesday february right hello please provide folder thank clearing analyst,Storage
8734,access control report model re control report model hello again knowledge working pm since yesterday haven even received much confirmation has looked please back asap response thanks ext mob control report model importance high hi report records control entire let say friday st offices preferably larger offices assess report sufficient compliance regulations which require record each working each every also how these records kept control database helpful by tomorrow thanks regards administrator,Hardware
47283,password reset for sent monday october please reset password hello name since cannot access writing colleagues trying log into laptop with following domain current password since about two hours ago cannot use each try log gives invalid password error please reset name password asap thanks,Access
3019,new starter kale building starter form induction hi bile absence please complete attached empty part thank officer,HR Support
13042,new starter friday pm re starter form hi please find attached side note her side regards starter form hello please help by filling out starter form thank ext,HR Support
36119,meeting room connection meeting room connection hi we have problem with connection one meeting rooms singleton we cannot error about connection domain server there currently servers available request can you help thank you regards tester,Hardware
26298,new database server november pm re annual recovery test clustering hi deployed by best regards technical consultant november pm annual recovery test clustering hi intervention kind regards analyst ext hub november annual recovery test clustering hi executing please deploy database about weeks test recovery clustering database configuration hardware cpu partition software os sp database engine edition note version version apply update description update collation latin instance name additionally please provide backup databases model user databases duration these effort book restore tests code thank technical consultant,HR Support
24495,add address to wednesday december tis save please december tis save til big discounts training displaying correctly high training dates program tis save discounted training offer ends forget december plan training save join courses discounted december interconnecting devices accelerated version february securing networks threat detection analysis march also accepted registering please enter code step receive discount more information about programs offer please si please note reserve seat today forward welcoming cheers fast ready fast connect si copyright fast rights reserved stop receiving fast,Hardware
5001,ticket for laptop retrieve retrieve hello guys please log assign queue retrieve she received po kind regards engineer ext,Hardware
29120,groups for project thursday pm groups dear please create groups please add owner groups thanks,Miscellaneous
26827,remove access to project saturday november pm left hi guys left please him resources attached thanks,HR Support
39526,problem to log on confluence sent friday july problem log confluence dear have problem logging into confluence if relevant changed domain password today getting kind screen when try also can change password getting manager en,Access
45927,issues sent monday november issues hi meets problems with possibly down or inaccessible could you please log ticket issues ca tot sa issues si la sa sa issue ca la mine merci thanks engineer,Administrative rights
14621,name change ad friday pm hello si ii si,Miscellaneous
17042,people not project anymore thursday pm anymore hi anymore receiving vacations requests please thanks,Internal Project
22156,for the which were cloned from previous thursday change updates hi please separate tickets raised points addressed least accounts enhancements existing setup add step client cr approvals relevant permissions provided attached client button cr form needs modified content client button cr needs contain tip well other cr defects corrected which were cloned date cr form displaying date cr created date cloned cr thanks best regards,Hardware
26708,new starter bucharest tuesday november pm re va ne si va la november pm hello va ne date administration officer,HR Support
43253,critical alert the following alert occurred at am original message sent thursday march critical alert following alert occurred status active data source type data source db computer server description last recovery points created failed synchronize changes for db server because snapshot volume did have sufficient space hold churn protected computer for more information open administrator console review alert details monitoring task area,Hardware
7397,oracle issue issue hello having issues log error please help looking forward,HR Support
23598,leaver inventory update tuesday pm leaver form intern hello please informed intern she has received job offer her accounts canceled thank specialist,HR Support
2834,access dear please testing too best regards,HR Support
38282,problem with problem with hello have problem with or receive any but only if log out then back critical issue cannot perform work thank you head analysis,Hardware
28592,new access october pm hi guys both accounts also path old best regards application engineer,Access
10275,new for thursday pm hi please assign thank kind regards engineer thursday pm re hi please move codes these inactive number name entity name entity code type unit unit code subtype commercial commercial code commercial code commercial code commercial commercial commercial regression testing commercial digital product strategy commercial commercial commercial vacation rentals commercial thanks senior accountant ext thursday pm re delete ones please thursday pm re hi updated both delete good safe side thank re importance high dear bus highlighted yellow background please wrongly please update expenditure type file thank thursday pm importance high wednesday pm importance high thursday pm importance high dear starting july old further please find changes related therefore cases affect related postings please find attached codes side make posting done july old mostly prepayment files revised please find attached old code code good,Internal Project
19288,new machine march pm machine hi automation machine specifications document attached machine application much appreciated help,Hardware
23059,access to project user provide attributes explorer attribute explorer matrix content note please attach newly completed link forms policies forms policies procedures,Access
13249,update for and wednesday pm hi please log call amended thank regards leader annual leave notice wednesday re acceptance phase thanks both running hyper elevated update please liaise members update accordingly thanks again officer re acceptance phase hello understand migration needs fixed re confident properly take regards leader annual leave notice wednesday re acceptance phase hello two virtual machines operating details historical each assets notice latest patches updates please note did trigger decommission virtual physical these were done prior were moved thanks kind regards officer re acceptance phase hello please ensure required populated these added patching cycle operating selected platform filled prod test far least vs operating bit please entire back fixed thank regards leader annual leave notice tuesday acceptance phase hi everyone please advised acceptance cr has raised tasks assigned yourselves technical documentation has reviewed updated consulted setup spreadsheet has validated well session held teams invited partake cr reject feature scheduled thanks kind regards officer,Hardware
8964,new project setup pas code for setup code hi please create has signed contract work has begun require code provide billing setup form attached vice president client products transportation,Internal Project
9918,bogota hello assist call please inquiries ensure proper tracking please kind regards thursday hi having problems viewing approved even approve cannot make po because rights kind regards administrator,Miscellaneous
42040,oracle problems sent monday problems dear trying submit receiving next error message best regards senior tester en,HR Support
34739,locator locator dear would like ask you help with problem el weekly daily receive requests colleagues change their but becomes difficult action because even receive by can them el site or can one them remain request even have confirmed once tables colors very strange too when open th floor almost tables but after some these becomes red please help make perfect application because necessary thank you best regards planning officer en,Hardware
30780,save with advocate program wednesday pm save advocate program displaying correctly view browser update powered by os learn more report,Hardware
34715,plug plug good morning please be advised lead stepped out use please ask for be looked into thanks receptionist,Hardware
37508,re notification oracle fusion post upgrade issues resolved re notification fusion post upgrade issues resolved hi there still cannot access for week date thursday notification fusion post upgrade issues resolved hello everyone please be advised previously reported issues related work schedule fixed you should be able submit your timecards if you were experience further issues please hesitate contact kind regards ext sent monday notification fusion post upgrade issues importance high hello everyone please be advised following fusion upgrade release some you experiencing errors related logging into application timecard work schedule we currently working resolve these issues we update you any relevant information available we apologize for any have caused thank you for your understanding kind regards id image ext,Administrative rights
11062,capacity reporting for july lines lines lines,Hardware
4657,new purchase po purchase po dear purchased requested by monitors please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,Purchase
45743,urgent licence sent december urgent licence importance high hi had message come up computer morning saying licence expired central application please can you tell how licence gets renewed want be exposed potential attacks for too thanks for your urgent help here head applications,Hardware
6838,time sheet reject for sheet reject dear please reject sheet submitted by must redo because thursday friday he leave thank,HR Support
27835,network cable and cord needed friday october la si si,Hardware
42014,meeting room double booked sent monday re booking sa ca normal ca conform print screen meeting invite tau sa se sa ca care si cat ne ca tine va inca ca delete la data la se sa si sa tine si analyst en sent monday re booking ca ave face si face ca dept va va face regards manager sent monday re booking hello si cancel inca active se pare ca se pot face normal genera mod normal la care la invite print screen ca la care ca la analyst en sent monday re booking alt meeting pot face ale si cum sprint ceremonies ca pot sa va sa si regards sent monday booking legate end date sa si print screen highlight date va sa si sa senior tester master,Hardware
44314,password reset sent tuesday february request for password reset hello could you please reset passwords following users currently users able use their but access web change their passwords suspect caused by length password characters probable cause if yes possible future generated passwords be up characters thank you for your cooperation best regards administrator,Access
23978,adding me to the all sales wednesday december pm hi wanted add please missed out important meeting invites etc thanks,Miscellaneous
12706,reset password for external user thursday july user hi user kind regards tester,Access
23375,please update the name of the form under the managers folder friday pm please update name form under folder hello please log assign kind regards engineer friday pm re please update name form under folder yup looks thanks please old later today towards users old form pipeline allocated by has client filter top form switching client shows total clients reduce size report client thus display client filter make work please thank,Storage
37067,suspended suspended hello had warning message showed attached image should resume protection or leave thank you engineer,Miscellaneous
43364,laptop issue rebuild replacement en sent friday march laptop issue rebuild replacement en hi can you please help by raising ticket with for replacing laptop en for adapter seems have issue with recognizing cable therefore can only access via know for or cable problem sometimes does work only after restarting laptop but most forced use connection also tried reinstalling driver re enabling adaptor device manager but did work side note when starting laptop takes lot boot even though partition enough free space usually work with tabs chrome tabs ie two instances various excel word docs however laptop sometimes responding heavily think related usage level old model through lot there any have replaced thank you best regards specialist,Hardware
35599,certificate problem certificate problem hello having some trouble connecting throws error connecting failed seems be something related certificate or something attached log thanks,Hardware
27920,access to kick off folder wednesday october pm kick off folder hi please provide kick off folder storage kickoff glasgow liverpool thank,Storage
2451,lost badge found lost badge re logged lost badge hello meantime found badge apologies inconvenience please reactivate badge thank,Access
607,delete somebody to delete somebody hi kindly ask billing billing thanks best regards,HR Support
30824,approval for leave tuesday pm please review annual leave pm hi leave her bypassed regards infrastructure upcoming training automatic please review annual leave pm please note annual leave wednesday apart holiday please speak absence escalations during off retain assist he moving days he dealing entries during period he attend proposal reviews he available,HR Support
41162,time card error sent wednesday re card error could you please reopen timecard thank you manager sent wednesday re card error hi tried but timecard still error regards screening officer sent wednesday re card error hi submitted absence leave your please try submit again timecard thanks manager sent wednesday card error hi after yesterday tried card week st used annual leave days rd th th but know card error please advise solving problem thank you regards screening officer,HR Support
11301,leaver form for leave date july location tower service now thursday july leaver form leave date july location tower hello leaver form has filled by name leaving date july location tower ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards,HR Support
12707,outlook profile picture wednesday july pm user care la care user si se,Access
40808,laptop prompts for updates of laptop keeps prompting update should update was living with impression updates done automatically prompt get,Hardware
15286,laptop needed for trip pm needed hi take part trip require must possession prior trip install setup software addition wireless mouse bag mentioned cheers best regards tester st center,Hardware
8531,password reset external users re issues users thanks suggest client workable solution passwords mentioned users regards,Access
9047,internal audit payroll shared drives access shared drives dear write regarding topic raised by colleagues regarding shared location please help users provided by containing information regarding has user rights shared drivers by personnel thank kind assistance regards ledger accountant,Storage
41595,annual leave time card sent tuesday data annual leave la ca annual leave la si se face submit va se sa ca si si sa cum face,HR Support
19005,monitor and mouse changes thursday march pm monitor mouse changes hi please change monitor mouse please regards database architect mob zone,Hardware
7342,ops wireless network wireless please wireless old broad street jump boxes thanks infrastructure architect,Hardware
25593,adding and to network november hi add please recently joined thank,Miscellaneous
10485,info about tuesday pm about hi please includes addresses part thanks,Hardware
30580,change of role pas change role hello please thank discipline lead,Miscellaneous
465,oracle expense report manager approvals expense report approvals hi multiple employees inquiring about how view approve expense reports he nothing please help him locate review expense reports awaiting his how guide document he follow thank best regards specialist users library containers library caches signatures signature,Miscellaneous
11998,new card for accessing both the building and the parking for july pm re card accessing both building parking sorry made mistake apologize thank july pm card accessing both building parking importance high good afternoon kindly ask matter colleague owner card serial change because severely damaged please note he card parking also under building possible assign single card he both parking lot under building he did far thank much best regards,Access
47359,account sent wednesday re hello ask you please check why can accounts for per below screen can only per attach file kind regards mobility officer sent wednesday re screening officer sent wednesday re hi can one for one with reference where you accounts kind regards mobility officer sent wednesday hi please overwrite one accounts probably second one existing under her name thanks screening officer registered under number whose registered old broad street kingdom does provide any clients each subsidiaries separate,Hardware
8614,oracle permission for and to modify projects clean call action dear kind modify greetings date tuesday re clean call action dear understand tight deadlines facing therefore kindly ask begin active finish until thanks suggestion unfortunately seems possibility upload bulk let manage find technical solution ease work evening tuesday re clean call action hi more add possible fill by file after perform import thanks best regards id tuesday re clean call action hi fully understand importance least moment perform updates by friday due invoicing period makes difficult every currently doing training members these tasks quite consuming pm way understood manually update each considering best allocate after period which mean come back updates by requests reach earlier future better sorry inconvenience thanks pm re clean call action dear attached find comprising created each client status pm attributes which filled selection well available options kindly ask take which commercial linked client marked yellow add detail find helpful thanks regards pm clean call action dear couple weeks ago launched restructuring process aiming reshape structure existing order improve practices processes levels across accurate database proper classifications represents key effective analysis provides reliable decision making process therefore kindly ask initiative by cleaning updating attributes commonly referred classifications class categories available instructions proceed included guideline attached existing closed pending close database other tools historical analysis ensure comparability cycles provide statistics existing database were created generic options other number attributes detailed leads impossibility building effective reports hence immediate action please carefully procedure attached lines novelties ones attributes removed nature attributes added sector option lists updated pm basically update options previously needed option attributes make attributes properly filled generic option deadline activity friday periodically update regarding progress link updated setup form days kindly ask forward anyone concerned missed questions please hesitate best regards,Hardware
43725,locked account sent thursday march locked hi colleague locked knows his password but being locked cannot access his laptop how should proceed thanks developer,Access
24947,cables request wednesday december pm va display port adaptor la display port va upcoming leaves next maybe someday,Hardware
5271,lists rights re trading hello back received owner rights similarly owner other older ones well make more simple future changes also own mobile thank,Miscellaneous
21709,bulk starter form school of wednesday february pm re school hi attached find thank tuesday pm school hello fill form interns starting february return both thank administration officer,HR Support
30977,document purchase order requisition implemented friday pm document purchase order requisition implemented dear purchased tv stand please log installation kind regards administrator document purchase order requisition implemented task application document purchase order requisition implemented details assignee assigned date expiration date task number sold entity order buyer ordered approximately nonrecoverable tax justification order details supplier supplier site site location center supplier order description note supplier requisitioning requisition requester cost center attachments po,Purchase
21380,please consider it a high request add folder to new location tuesday february pm re please consider high add folder location importance high sorry please also tuesday february pm re please consider high add folder location importance high hi guys please link today please appreciate tuesday february re re please consider high add folder location importance high thank helping please thank february pm re please consider high add folder location hello please informed created folder named under site library library link site resources section also contribute right folder more assistance regarding matter hesitate thanks engineer february pm please consider high importance high hi guys please create folder called please give rights too add common today roll out selection flow please design authority same panel thank,Storage
23063,access to via wednesday pm high priority possible receive order work tomorrow application test stingray stingray stingray user name each instances detailed port witch test application after deploy app site thank,Access
33730,budget owner not visible thursday july budget owner visible hi everyone please help understand happening budget owner needs attend training her work effectively training happening next please ahead subscribe class has included budget part personal plan thank,Miscellaneous
3908,your mailbox is almost full mail quota mailbox almost dear please increase mailbox storage thank november mailbox almost importance high mailbox almost mb mb size maximum size please reduce mailbox size delete items mailbox empty deleted items folder,Storage
20745,admin rights for friday february re right her own site hello please informed control site also library please attached best regards engineer thursday february pm re please location contains profiles discipline hello also please thank,HR Support
44480,not available from the wireless network belgrade problem initially reported via phone monday by belgrade reported multiple users having problems with can connect working issues were solved after follow up with belgrade was reported still encounter issues with web wireless sent wednesday february belgrade re problems belgrade hi we still have problem we have problem access web interface wireless but we can access please check with responsible was there any updates changes past few days thanks senior engineer sent problems belgrade hello want follow up issues encountered two days ago what we gather we understand issues belgrade were solved seems our side yet we would also need written confirmation you guys could you please advise thank you looking forward hearing you,Hardware
6086,for hi please help license key tools please let additional required thank engineer id image,Access
4829,monitor monitor monitor,Hardware
27400,tv reception friday october tv hi tv keeps going mode source button has pressed every morning looked please worked properly stayed how myself thanks kind regards receptionist,Hardware
31938,remove closed project from the time recording module list pm re update closed dear thanks closing these codes possible drop down menu recording module thanks friday update closed dear further recent communication believe query has resolved resolution response please let further assistance matter reference number summary closed resolver resolution notes were closed description thursday pm closed codes dear please close codes both simplification architecture review platform architecture review thanks officer kind regards ext,Miscellaneous
37017,oracle pas urgent re we updated rights query hi can get some assistance here looks like have full control for codes only one working for cannot forecast need done by friday thanks programme portfolio officer mobile phone,Hardware
41267,unable to access yammer sent wednesday yammer va sa yammer si developer en address blvd th floor district,Hardware
39629,site documents policies hello have small question hello error you one yes occurs with every type files every name mean you use your document special symbols only tried word name maternity policy procedure yes sign could you try upload without special symbol yes certainly you could be something waiting for updates trying right worked re site documents policies importance high hi also used have write access receive another error message when attempting add document word versions kind regards mobility officer sent july site documents policies hello please can have write access folders link below trying replace policy site get error message used have access site add replace documents something seems have changed regards,Hardware
21144,create accounts for external users friday february pm re accounts users hi please assist highlighted part thank kind regards analyst friday february pm re accounts users thank discussed please pm default watcher items issue currently anyone roles persons added create accounts users add developers details angus angus thank,Access
1495,disable accounts integration disable accounts hello please rise caller best regards engineer wednesday pm re interface accounts turned off best regards wednesday pm re interface hello misunderstanding please turn back which disabled which disabled accounts entity disabled today by which supporting source accounts important synched other application having discussion identified outdated causing problems billing stage agreed kept off until corrected actions disable accounts asap export accounts corrections amend accounts received inform stakeholder turn accounts additional information please hesitate best regards engineer wednesday pm re interface hi disabled waiting issue fixed side best regards senior engineer wednesday pm re interface hi production environment causing undesirable updates customers please disable production environment until issue fixed thank kind regards engineer wednesday pm re interface hi take thanks interface charge interface under impression disabled please disabled asap has noticed updated causing him unnecessary work constantly needing updating thanks,Access
385,new purchase po purchase po dear purchased tv black tv tv black tv please log allocation kind regards administrator,Purchase
5578,ticket to be raised to replace wednesday october pm raised replace hello please ask help allocate replace low performance decommissioned ago thank help kind regards wednesday october pm re needed july replacement hello sitting room were waiting appropriate resources make swap think alone kind regards engineer october re needed july replacement hi resurrecting subject because too progressed matter please let replaced after were expecting response side please advise kind regards thursday pm re needed july replacement replace entire downtime cannot done within also well kilos heavy pretty difficult given weight replace by myself kind regards engineer re needed july replacement hi thanks coming back surely sounds way too complicated swapping whole redo test equipment rack please proceed let assistance matter kind regards thursday re needed july replacement same connector understand compatible spec sheets these found other compatible well device buy certain replacement batteries where found were selling replacement batteries electrician hazards hot swapping even says re hot downtime comfortable doing never done fan high voltage keep looking definitive battery packs compatible kind regards engineer re needed july replacement hello apologies delay response checked battery replaced ask advise proceed instead switching entire by way expected downtime work carried out guessing expertise aspect please kind regards friday pm re needed july replacement hello finished testing bad connect via interface via serial port software information pretty vague charged connected older other ones had were powering reason thought more warning about took estimating rd rack least minutes more thinking better swap out batteries haven checked compatible instead switching entire further labour kind regards engineer re needed july replacement hello discussed earlier currently decommissioned test possible help today please advise kind regards tuesday re needed july replacement hello sorry delayed response leave yesterday slight problem testing order track down uptime submit certain load which means unplugging plugging everything how much draws calculate under therefore unsure how test without disruption existing setup moment please advise kind regards engineer needed july replacement hi believe involved testing devices right closed wanted ask help test proves better than than replacing existing installed assist please advise kind regards thursday pm re needed july replacement hi receipt stored room rest boxes next chapmen kind regards re needed july replacement hi thanks confirmation picked morning arrive sometimes afternoon regard testing undergo same analysis existing ones more main receive intact well boxes paperwork contracts which handed over chapmen possible please come back details testing part friday kind regards wednesday pm re needed july replacement hi tomorrow let how intend conduct test kind regards re needed july replacement hi leave best copy whole tomorrow thanks needed july replacement hello further arranged collected tomorrow arrive sometimes afternoon next step tested results after compare devices decide which replace setup same second going please help testing once arrives unavailable tomorrow anyone receive via courier please advise kind regards needed july replacement hi confirmed different connectors well also regular plugs redundancy he asking main installed decided keep both matter replacing next kind regards thursday pm needed july replacement hi got kind regards re needed july replacement agree lets requires until arrives weeks rack available install test parallel please guys connectors match available room thanks thursday re needed july replacement quite going transportation after re needed july replacement hi particularly concerned about which holds controller minimum autonomy production equipment least less than allow enough reaction unplanned outage aim reuse proves better upgrade replace batteries otherwise regards july re needed july replacement thanks recall got rather similar results especially minutes minutes neither which much outage added thread his awareness room units remaining values charge mins mins mins mins guess nothing room critical care about two low values respective cabinets course perhaps hungry cab kind regards july re needed july replacement please find reports also ran calibration each accurate results please let how assist further status battery transfer battery test temperature remaining sec input input voltage output output voltage load amps output va output battery status battery battery voltage batteries status battery transfer battery test temperature remaining minutes seconds input input voltage output output voltage load amps output va output battery status battery battery voltage batteries battery transfer battery test temperature remaining minutes seconds input voltage output voltage frequency load load apparent load va load amps battery status battery voltage kind regards engineer july re needed july replacement hi ah interesting test result close self test diagnostics result perhaps take self test diagnostics result each accurate enough therefore please ahead perform self test diagnostics each other let results by way unplugged commando plugs assume ones perfectly safe unplug volts plug reason larger than plugs amps maybe amps rather than amps expect pin design prevent arcing even unplugged drawing amp load plug unplug these things several times per unplugged moving racks re distributing load cheers july needed july replacement hello contacting regarding raised about checking has performed bit reluctant perform other ones honest findings he had by testing manually close self diagnostics devices themselves self diagnostic said has minutes calculated minutes wondering order proceed further having take feasible perform automated self diagnostics instead kind regards engineer july re needed july replacement hi tested details timed rundown fixed cables units which fed by commando cable couplers under cabinets cabling cab looks comfortable playing cabling running other electrician,Hardware
1792,polls polls hello please update description polls according attached document thanks,Hardware
7498,assistance backup before windows upgrade assistance backup upgrade dear please favor assistance backup upgrade assign colleague resolved his side thank regards kind regards country,Administrative rights
16316,open period for cc levels on thursday please rise tickets hello please rise tickets assign summary run consolidation period summary period levels kind regards engineer thursday re period close activities next thanks thru final adjustments forecast synchronized hence please owners well thank,Miscellaneous
8594,leaver centre leaver form leave date location centre hello leaver form has filled by name leaving date location centre ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor floor right row seat rd did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments provided by client he has monitor keyboard etc returned needed tickets automatically logged best regards note mailbox receive messages,HR Support
46004,issue with audio hardware sent wednesday november re second message about you near senior engineer ext date wednesday november second message about hi connected laptop television our attempted play video through cord video played but audio was still coming out speakers laptop when attempted switch source output laptop television somehow managed completely delete speakers laptop when try watch videos take calls or anything requires some kind audio experience unable access sound presents real problem because can take calls through device ie need some credentials or something reinstall essential software please let know what need mitigate problem asap second message about did receive answer over past week please get back unable job properly without functionality thanks best regards,Hardware
33676,for thursday july pm problem hello name want report problem work name thank,Miscellaneous
34342,issue with user issue with hi we got problem while importing costs for entity seems problem related submitted period between july st july th by you can find attached screen with error could you please fix issue with we can proceed with costs importing could you please raise ticket for issue thank you best regards engineer,Hardware
22808,block mails re re hi thanks letting about delete please add br blacklist regards pm re hi want report attached scam thank test consultant wrote deal has checked viruses by avast software se livre,Hardware
30424,remove from ms security fwd hi please thanks galaxy date re hello got regarding hosting record pointing same shows received dianthus attached bellow please advise solve issue thank best regards engineer tuesday pm chief officer transforming hi guys believe tuesday pm chief officer transforming hi role chief officer developing rapidly were less than across by predict over third annual chief officer returns november learn about developing strategies keep top governance join these industry leaders more help leverage highlight opportunities chief officer chief architect head head strategic head science head governance architect head commercial insights passes available bird rates off pass price more information rates directly best regards event update preferences please link,Hardware
20325,new purchase po thursday february pm purchase po dear purchased sd please log installation kind regards administrator,Purchase
1601,check if attrition management reporting final is correct and the corresponding location re attrition final hi document owned by together leavers process good correctness document location thank fantastic,Purchase
6383,remove approval rights rights hi please approver she remain right thanks accounts receivable lead,Miscellaneous
5152,damaged access card kind request to assign a new one damaged card kind assign dear colleagues please note card belonging colleague severely damaged therefore kindly ask deactivate assign him thank much evening,Access
21836,pas project setup new projects please attach completed setup form please help create two codes link forms policies forms policies procedures,Internal Project
11217,new purchase po friday july pm purchase po dear purchased replacement battery cartridge please log allocation kind regards administrator,Purchase
27311,git access october git hello please provide git tried connect git thank software tester phone mobile ext blvd zone information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent,Access
28918,new starter october pm starter form dear please find attached completed form joining thank administration officer,HR Support
35459,poll status down poll status down poll output packets transmitted received packet loss,Miscellaneous
18504,access card swap friday march pm re cleaning hello task finished please log queue update details thank engineer ext cleaning hello advise thank kind regards analyst ext hub thursday march pm cleaning dear cleaning ladies working anymore her yesterday her today give her card regards,Access
40260,add shared mailbox sent monday july re mailbox access for hello dear have some issues with set up mailbox could you help please looking forward for your answer regards engineer en,Storage
7402,service now data refresh rate refresh rate hello created filter tickets refresh rate filter keep updating remains same resolution real resolution change every update filter by running every mins thanks profile,Miscellaneous
4562,name change to access card name change hi guys please change name she works please remain unchanged thanks administration officer november re update stare civil bun fie oar friday november pm re update stare civil ne ca fie administration officer,Miscellaneous
39932,support needed action required approve requisition incorrect mapping sent tuesday july needed action required approve requisition hello notice incorrect mapping going incorrect flows can you please confirm communication regarding issue help thanks best regards manager sent tuesday july needed action required approve requisition hello looks like there wrong setup can you please check thanks sent action required approve requisition hi come for approval can you confirm should be approved for client area regards director sent july action required approve requisition approval amount requester entered by flight tickets accommodation frankfurt for justification approve reject lines flight tickets frankfurt for task accommodation for task action history approved approval request submitted view task details,Miscellaneous
